"","Location","Year","Month","average_WindGustSpeed","Lat","Long","State"
"304","AliceSprings",2017,"March",40.1612903225806,-23.6983884,133.8812885,"Northern Territory"
"305","AliceSprings",2017,"May",37.6811735706644,-23.6983884,133.8812885,"Northern Territory"
"306","Ballarat",2008,"December",45.8709677419355,-37.5623013,143.8605645,"Victoria"
"307","Ballarat",2009,"April",43.5,-37.5623013,143.8605645,"Victoria"
"308","Ballarat",2009,"August",54.7096774193548,-37.5623013,143.8605645,"Victoria"
"309","Ballarat",2009,"December",44.2903225806452,-37.5623013,143.8605645,"Victoria"
"310","Ballarat",2009,"February",51.1430619284843,-37.5623013,143.8605645,"Victoria"
"311","Ballarat",2009,"January",48,-37.5623013,143.8605645,"Victoria"
"312","Ballarat",2009,"July",45.6774193548387,-37.5623013,143.8605645,"Victoria"
"313","Ballarat",2009,"June",38.4666666666667,-37.5623013,143.8605645,"Victoria"
"314","Ballarat",2009,"March",47.7408026333958,-37.5623013,143.8605645,"Victoria"
"315","Ballarat",2009,"May",38.4432427780703,-37.5623013,143.8605645,"Victoria"
"316","Ballarat",2009,"November",45.0666666666667,-37.5623013,143.8605645,"Victoria"
"317","Ballarat",2009,"October",44.9354838709677,-37.5623013,143.8605645,"Victoria"
"318","Ballarat",2009,"September",48.443093321907,-37.5623013,143.8605645,"Victoria"
"319","Ballarat",2010,"April",39.4666666666667,-37.5623013,143.8605645,"Victoria"
"320","Ballarat",2010,"August",50.9354838709677,-37.5623013,143.8605645,"Victoria"
"321","Ballarat",2010,"December",47.0968203180199,-37.5623013,143.8605645,"Victoria"
"322","Ballarat",2010,"February",51.8214285714286,-37.5623013,143.8605645,"Victoria"
