"","Location","Year","Month","average_WindGustSpeed"
"394","AliceSprings",2016,"June",32.6
"395","AliceSprings",2016,"March",40.3225806451613
"396","AliceSprings",2016,"May",31.9584151943845
"397","AliceSprings",2016,"November",47.4
"398","AliceSprings",2016,"October",41.6290725045988
"399","AliceSprings",2016,"September",42.6
"400","AliceSprings",2017,"April",36.9666666666667
"401","AliceSprings",2017,"February",44.5403178452647
"402","AliceSprings",2017,"January",39.5161290322581
"403","AliceSprings",2017,"June",37.0995151188597
"404","AliceSprings",2017,"March",40.1612903225806
"405","AliceSprings",2017,"May",37.6811735706644
"406","BadgerysCreek",2009,"April",33.5333333333333
"407","BadgerysCreek",2009,"August",41.9354838709677
"408","BadgerysCreek",2009,"December",39.5040888889062
"409","BadgerysCreek",2009,"February",37.9642857142857
"410","BadgerysCreek",2009,"January",41.9354838709677
"411","BadgerysCreek",2009,"July",33.7096774193548
"412","BadgerysCreek",2009,"June",26.6458936933428
"413","BadgerysCreek",2009,"March",37.9032258064516
"414","BadgerysCreek",2009,"May",31.7741935483871
"415","BadgerysCreek",2009,"November",40.8
"416","BadgerysCreek",2009,"October",42.741935483871
"417","BadgerysCreek",2009,"September",44.4
"418","BadgerysCreek",2010,"April",32.5382341582328
"419","BadgerysCreek",2010,"August",43.0322722710008
"420","BadgerysCreek",2010,"December",39.4181447308511
"421","BadgerysCreek",2010,"February",40.4182108986923
"422","BadgerysCreek",2010,"January",42.5759951000312
"423","BadgerysCreek",2010,"July",30
"424","BadgerysCreek",2010,"June",33.0643013489433
"425","BadgerysCreek",2010,"March",34.7168654145433
"426","BadgerysCreek",2010,"May",35.4197345102626
"427","BadgerysCreek",2010,"November",37.6666666666667
"428","BadgerysCreek",2010,"October",38.677458881731
"429","BadgerysCreek",2010,"September",39
"430","BadgerysCreek",2011,"August",27.4876348981333
"431","BadgerysCreek",2011,"December",28.6451612903226
"432","BadgerysCreek",2011,"February",35.7142857142857
"433","BadgerysCreek",2011,"January",37.0967741935484
"434","BadgerysCreek",2011,"July",33.3625673770063
"435","BadgerysCreek",2011,"June",34.0333333333333
"436","BadgerysCreek",2011,"March",35.8387096774194
"437","BadgerysCreek",2011,"May",28.9354838709677
"438","BadgerysCreek",2011,"November",38.6328183320972
"439","BadgerysCreek",2011,"October",29.8387096774194
"440","BadgerysCreek",2011,"September",37.4333333333333
"441","BadgerysCreek",2012,"April",28.5666666666667
